"nom";"continent";"superficie";"population";"pib"
"Afghanistan";"Asie";"652230";"25500100";"20343000000"
"Albanie";"Europe";"28748";"2831741";"12960000000"
"Algerie";"Afrique";"2381741";"37100000";"188681000000"
"Andorre";"Europe";"468";"78115";"3712000000"
"Angola";"Afrique";"1246700";"20609294";"100990000000"
"Anguilla";"Amerique du Nord";"91";"13452";"108900000"
"Antigua and Barbuda";"Amerique du Nord";"442";"86295";"1129000000"
"Argentine";"Amerique du Sud";"2780400";"40117096";"445989000000"
"Armenie";"Europe";"29743";"3275700";"10248000000"
"Aruba";"Amerique du Nord";"180";"101484";"1911000000"
"Australia";"Oceanie";"7692024";"22833376";"1371764000000"
"Autriche";"Europe";"83871";"8452835";"418484000000"
"Azerbaidjan";"Europe";"86600";"9235100";"63404000000"
"Bahamas";"Amerique du Nord";"13943";"353658";"7788000000"
"Bahrein";"Asie";"765";"1234571";"22945000000"
"Bangladesh";"Asie";"147570";"152518015";"110612000000"
"Barbade";"Amerique du Nord";"430";"274200";"3685000000"
"Belarus";"Europe";"207600";"9460000";"55136000000"
"Belgique";"Europe";"30528";"11128952";"511533000000"
"Belize";"Amerique du Nord";"22966";"312971";"1474000000"
"Benin";"Afrique";"112622";"9352000";"7295000000"
"Bermude";"Amerique du Nord";"54";"64237";"5765000000"
"Bhutan";"Asie";"38394";"720679";"1689000000"
"Bolivie";"Amerique du Sud";"1098581";"10426155";"24427000000"
"Bosnie-Herzegovine";"Europe";"51129";"3868621";"18088000000"
"Botswana";"Afrique";"582000";"2024904";"17627000000"
"Bresil";"Amerique du Sud";"8514877";"193946886";"2476652000000"
"Brunei";"Asie";"5765";"393162";"12370000000"
"Bulgarie";"Europe";"110879";"7364570";"53514000000"
"Burkina Faso";"Afrique";"272967";"15730977";"10187000000"
"Burundi";"Afrique";"27834";"8749000";"2326000000"
"Cambodge";"Asie";"181035";"14478000";"12875000000"
"Cameroun";"Afrique";"475442";"19406100";"25465000000"
"Canada";"Amerique du Nord";"9984670";"35000200";"1736051000000"
"Cap Vert";"Afrique";"4033";"491875";"1901000000"
"Iles Cayman";"Amerique du Nord";"264";"55456";"1012000000"
"Centrafrique";"Afrique";"622984";"4576000";"2166000000"
"Tchad";"Afrique";"1284000";"11274106";"9486000000"
"Chili";"Amerique du Sud";"756102";"16572475";"248585000000"
"Chine";"Asie";"9706961";"1347350000";"7318499000000"
"Colombie";"Amerique du Sud";"1141748";"46817000";"331655000000"
